sr. no.,heading,synopsis,link,section
159,Delhi-Bangkok flights cheaper than air travel to NE states: Tour operators,"Meghalaya has been allotted two schemes - Sohra and Shillong - under SD 2.0 where investment of up to Rs 50 crore will be made. The ministry has also sanctioned eight projects worth Rs 256.45 crore for the integrated development of identified pilgrimage destinations in the northeast states under the PRASHAD Scheme, they said.",https://economictimes.indiatimes.com/news/politics//industry/transportation/airlines-/-aviation/delhi-bangkok-flights-cheaper-than-air-travel-to-ne-states-tour-operators/articleshow/105422448.cms,industry
161,"Drop in oil prices and US treasury yield good news for India but govt, RBI remain alert to inflation: Finmin","The ministry said India can look forward to a longer economic and financial cycle over the medium term than in the past, thanks to the sustained focus on public investment in infrastructure and advances in digital public infrastructure. However, external headwinds could threaten these projections.",https://economictimes.indiatimes.com/news/politics//news/economy/indicators/drop-in-oil-prices-and-us-treasury-yield-good-news-for-india-but-govt-rbi-remain-alert-to-inflation-finmin/articleshow/105391631.cms,news
162,Carter Reum says it was Paris Hilton’s decision to keep son Phoenix's birth a secret,"​In a preview of season 2 of her Peacock reality series, ""Paris in Love,"" Reum, aged 42, reveals that he had a desire to announce the upcoming arrival of their son, Phoenix Baron, to his loved ones. However, his wife, also 42, expressed a preference for keeping the news private for a while.",https://economictimes.indiatimes.com/news/politics//news/international/us/carter-reum-says-it-was-paris-hiltons-decision-to-keep-son-phoenixs-birth-a-secret/articleshow/105422509.cms,news
163,PM Kisan 16th Installment: When will beneficiaries receive next installment amount?,"Under the PM Kisan Scheme, the entire financial liability towards transfer of benefit to targeted beneficiaries will be borne by Government of India and will be paid in three equal installments of Rs.2000 each, every four months.",https://economictimes.indiatimes.com/news/politics//wealth/save/pm-kisan-16th-installment-when-will-beneficiaries-receive-next-installment-amount/articleshow/105409443.cms,wealth
164,Live-in without divorce from previous marriage is a punishable offense: High Court,The Punjab and Haryana high court has ruled that a couple living together without legally ending their previous marriages cannot be considered as being in a 'live-in relationship' or having ties similar to marriage. The court stated that this situation would amount to the offence of bigamy under Sections 494/495 of the IPC.,https://economictimes.indiatimes.com/news/politics//news/india/live-in-without-divorce-from-previous-marriage-is-a-punishable-offense-high-court/articleshow/105199076.cms,news
167,University College London unveils 100 new scholarships for Indian students,"UCL, one of the UK's leading universities, said on Tuesday that its new India Excellence Scholarships will support Indian students with an outstanding academic record to pursue full-time Master's degree studies at the institution.",https://economictimes.indiatimes.com/news/politics//nri/study/university-college-london-unveils-100-new-scholarships-for-indian-students/articleshow/105418223.cms,nri
168,Pre-placement job offers at the IITs bring relief,"PPOs translate into jobs in hand for the students who have accepted them, even before final placements begin on December 1 at the old IITs. For campus placement teams, it means fewer students to place in a year when many companies have slashed hiring numbers, and some are skipping placements altogether.",https://economictimes.indiatimes.com/news/politics//jobs/fresher/pre-placement-job-offers-at-the-iits-bring-relief/articleshow/105395717.cms,jobs
170,PM Modi tells G20 leaders to prevent Israel-Hamas conflict from escalating,"The summit, hosted by India, aimed to assess progress on policy suggestions and goals outlined during the annual G20 summit in New Delhi last September. Wednesday's summit was attended by Russian President Vladimir Putin, Chinese Premier Li Qiang, Japan's Fumio Kishida, Turkey's Tayyip Erdogan, Canada's Justin Trudeau, Australia's Anthony Albanese and Brazil's Luiz Inacio Lula da Silva, among others.",https://economictimes.indiatimes.com/news/politics//news/india/pm-modi-tells-g20-leaders-to-prevent-israel-hamas-conflict-from-escalating/articleshow/105420633.cms,news
171,BlackPink: Kpop band gets honorary MBEs from King Charles. Check video here,BlackPink has received honorary Member of the Order of the British Empire medals in the presence of South Korean President Yoon Suk Yeol during his state visit to the United Kingdom. The group received the honour for their role as​ COP26 Advocates for the United Nations climate summit held in Glasgow back in 2021.,https://economictimes.indiatimes.com/news/politics//news/international/uk/blackpink-kpop-band-gets-honorary-mbes-from-king-charles-check-video-here/articleshow/105421961.cms,news
172,Tiger Global’s Scott Shleifer steps down as head of private investing,"Founder Chase Coleman will now manage both public and private wagers. Shleifer will remain with the firm as a partner, transitioning to a senior adviser role effective Jan. 1, Coleman said Tuesday in a letter to clients.",https://economictimes.indiatimes.com/news/politics//tech/startups/tiger-globals-scott-shleifer-steps-down-as-head-of-private-investing/articleshow/105399279.cms,tech
173,"World Cup 2023: How much prize money Australia, India and other teams will get","The ICC Cricket World Cup 2023 concluded with Australia beating India by six wickets. The tournament, hosting 10 teams, offers a total prize pool of $10 million (approximately Rs 83 crore), with the winner receiving $4 million (Rs 33 crore) and the runner-up $2 million (Rs 16 crore). In comparison, the 2022 FIFA World Cup in Qatar, featuring 32 teams, had a substantial prize fund of $440 million (Rs 3,660 crore).",https://economictimes.indiatimes.com/news/politics//news/india/cricket-world-cup-2023-winner-gets-rs-33-crore-in-prize-money-check-what-football-world-cup-2022-champion-got/articleshow/105288448.cms,news
174,Jefferies upgrades Coal India to buy; 5 reasons why stock may surge 23%,Jefferies said in a note that Coal India's volume growth trajectory has improved and will likely sustain amid India's strong economic growth outlook and rising power consumption.,https://economictimes.indiatimes.com/news/politics//markets/stocks/news/jefferies-upgrades-coal-india-to-buy-5-reasons-why-stock-may-surge-23/articleshow/105406861.cms,markets
176,India resumes e-visa services for Canadian nationals,"India has resumed e-visa services to Canadian nationals. This follows allegations by Canada of a potential role for Indian operatives in the June 18 killing of Khalistani separatist Hardeep Singh Nijjar. India has rejected PM Justin Trudeau's allegations as ""absurd"" and ""motivated."" The country temporarily suspended visa issuance to Canadian citizens in September.",https://economictimes.indiatimes.com/news/politics//nri/latest-updates/india-resumes-e-visa-services-to-canadian-nationals/articleshow/105409706.cms,nri
177,"Not making any false ad, ready for even death sentence if found guilty: Patanjali Ayurved","""Patanjali have made thousands of people free from several diseases like BP, sugar, thyroid, asthma, arthritis, obesity, liver and kidney failure, and cancer,"" the company asserted. The company further said, ""We humbly respect the Supreme Court of India and if we make false advertisements or propaganda, we would not have any objections if honourable court imposes a fine of crores or even give us a death sentence.""",https://economictimes.indiatimes.com/news/politics//news/india/not-making-any-false-ad-ready-for-even-death-sentence-if-found-guilty-patanjali-ayurved/articleshow/105422086.cms,news
179,No deductions can be claimed on profits from forex fluctuations: SC,"“The policy behind the deductions of profits from the business of exports is to encourage and incentivise export trade. Through Section 80HHC (of the Income Tax Act), the Parliament restricted the deduction of profit from the assessee's export of goods/merchandise. The interpretation now suggested by the assessee would add one more source to the sources stated in Section 80 HHC of the Act. Such a course is impermissible,” the apex court said.",https://economictimes.indiatimes.com/news/politics//news/india/no-deductions-can-be-claimed-on-profits-from-forex-fluctuations-sc/articleshow/105423144.cms,news
180,"Telangana election dates: Polling on November 30, result on December 3. Here is all you should know","The Election Commission has announced that polling in Telangana will occur on November 30, with the results being declared on December 3. The upcoming elections in Telangana are significant for the BJP and Congress as they will be the first elections after the formation of the opposition's grand alliance against the BJP. Additionally, the polls will serve as a test for current Chief Minister Chandrashekhar.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/telangana-assembly-elections/telangana-election-dates-announced-polling-on-result-to-be-declared-on-here-is-all-you-should-know/articleshow/104276290.cms,news
181,Tata Technologies vs 4 other IPOs: Which is the best bet if you have to pick one?,"Analysts seem to be veering towards Tata Tech IPO as they believe it is a must apply not only based on the grey market trends for listing gains, but also for its long-term prospects due to Tata's lineage and healthy financials.",https://economictimes.indiatimes.com/news/politics//markets/ipos/fpos/tata-technologies-vs-4-other-ipos-which-is-the-best-bet-if-you-have-to-pick-one/articleshow/105411035.cms,markets
182,ISIS Jabalpur module case: NIA files charge sheet against four,The National Investigation Agency (NIA) has submitted a charge sheet against four individuals arrested in connection with a violent conspiracy orchestrated by members of the Jabalpur module of the global terrorist group ISIS.,https://economictimes.indiatimes.com/news/politics//news/defence/isis-jabalpur-module-case-nia-files-charge-sheet-against-four/articleshow/105412885.cms,news
183,"Top fuel credit cards with most cashback, discounts, rewards",ET Wealth Online has compiled a list of the top banks' credit cards with fuel benefits (based on RBI statistics on credit card outstanding as of September 2023).,https://economictimes.indiatimes.com/news/politics//wealth/spend/top-fuel-credit-cards/articleshow/105280749.cms,wealth
186,"Winzo investing $25 million to expand base in Brazilian market, says cofounder",The move will help the business diversify outside of India. Brazil is the fourth largest gaming market in the world with a user base of 90 million users and a levy of indirect taxes such as 2-5% as municipal tax.,https://economictimes.indiatimes.com/news/politics//tech/startups/winzo-investing-25-million-to-expand-base-in-brazilian-market-says-cofounder/articleshow/104183712.cms,tech
187,Delhi HC allows Swamy to withdraw petition,"Swamy also said RBI has issued guidelines for licensing and operation of asset reconstruction companies, which must be followed by the latter. In some cases, partnerships between asset reconstruction companies and banks may require approval from both RBI and Securities and Exchange Board of India, he said in his application. In March, Swamy had filed a PIL n alleging that the transactions involving the transfer of the distressed asset portfolio lacked fairness, attempts to evade relevant laws, and did not serve the best interests of the public who have accounts with YES Bank.",https://economictimes.indiatimes.com/news/politics//news/india/delhi-hc-allows-swamy-to-withdraw-petition/articleshow/105422689.cms,news
189,"BharatPe cofounder Ashneer Grover, wife stopped at Delhi airport while travelling to New York",Couple stopped at Delhi airport citing look-out circular issued against them by EOW of Delhi Police,https://economictimes.indiatimes.com/news/politics//news/india/bharatpe-cofounder-ashneer-grover-wife-stopped-at-delhi-airport-while-travelling-to-new-york/articleshow/105284261.cms,news
190,Sparsh Pensioners: How defence pensioners can submit Digital Life Certificate (Jeevan Pramaan) online?,"Defence pensioners must perform annual identification which can be done using Aadhaar, or providing life certificates issued by designated authorities to have the entitled pension credited to their bank account.",https://economictimes.indiatimes.com/news/politics//wealth/save/sparsh-pensioners-how-defence-pensioners-can-submit-digital-life-certificate-jeevan-pramaan-online/articleshow/105406358.cms,wealth
191,IIM Lucknow Launches Batch 4 of the Chief Operations Officer Programme in India,"Emeritus offers customised and open programmes in India, Singapore, Dubai and other global locations in collaboration with MIT Sloan, Columbia Business School, IIM Lucknow Executive Education, IIM Calcutta Executive Education, ISB Executive Education, Harvard Business School (HBS), Kellogg Executive Education, Berkeley Executive Education, and Wharton Executive Education, amongst other leading Institutes. Our world-class executive education programmes, supported by eminent programme experts, provide an immersive learning experience integrated with actionable insights and practical business applications.",https://economictimes.indiatimes.com/news/politics//jobs/c-suite/iim-lucknow-launches-batch-4-of-the-chief-operations-officer-programme-in-india/articleshow/105284047.cms,jobs
192,Nithin Kamath warns against fake employees scamming demat account holders,"Kamath, who is known for his educational tweets on all things finance and stock markets, said people fall for such scams despite many checks.",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/nithin-kamath-warns-against-fake-employees-scamming-demat-account-holders/articleshow/105423160.cms,markets
193,What’s next for Tom Hiddleston after Loki Season 2? Here’s where the God of Mischief will appear in the MCU multiverse,"As Tom Hiddleston wraps up his second solo adventure in the Marvel Cinematic Universe with the Disney+ finale of Loki Season 2, enthusiasts are speculating on the next chapter for the mischievous deity.",https://economictimes.indiatimes.com/news/politics//news/international/us/whats-next-for-tom-hiddleston-after-loki-season-2-heres-where-the-god-of-mischief-will-appear-in-the-mcu-multiverse/articleshow/105421255.cms,news
194,"Crypto Price Today: Bitcoin falls below $35,600; XRP, Toncoin shed up to 5%","Data showed US consumer prices were unchanged in October, and the annual rise in underlying inflation was the smallest in two years. In the 12 months through October, the CPI climbed 3.2% - below economists' estimates - after rising 3.7% in September.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-15-november-2023/articleshow/105228673.cms,markets
195,Meta rolls out generative AI powered features for ad creatives,"Meta said it is rolling out our first generative AI-powered features for ad creatives in Meta’s Ads Manager, with a global rollout complete by next year.",https://economictimes.indiatimes.com/news/politics//tech/technology/meta-rolls-out-generative-ai-powered-features-for-ad-creatives/articleshow/104178931.cms,tech
196,"Ease of I-T refunds, taxpayers saw reduced time, simplified process: survey","The survey further reveals that not only has the refund timing been reduced, individual taxpayers have also reported simplification of the refund process with 90% of taxpayers getting automatic refunds. Also 75% of the individual taxpayers did not have to pay extra tax beyond the tax deducted at source (TDS).",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/ease-of-i-t-refunds-taxpayers-saw-reduced-time-simplified-process-survey/articleshow/105421742.cms,industry
197,"Tiger Global’s Scott Shleifer steps down, but India bets still firmly in place","According to half-a-dozen people ET spoke to in India, Shleifer has been very bullish on India and led a series of investments in startups like OfBusiness, Cred, Slice, and others besides doubling down on earlier bets here as well. As a fund, Tiger continues to be positive in India so a major change in strategy on this market is unlikely, they said.",https://economictimes.indiatimes.com/news/politics//tech/technology/tiger-globals-scott-shleifer-steps-down-but-india-bets-still-firmly-in-place/articleshow/105419465.cms,tech
199,Probe underway against government officials in FAME subsidy misappropriation case,"Under the FAME scheme, companies were to make electric vehicles (EVs) in India and get subsidised by the centre. But multiple players ended up using imported components in their vehicles and getting financial supports for the same. This was followed by the government sending recovery notices of Rs 450 crore to seven companies electric two-wheeler (e2w) companies for violating local sourcing norms required to be met under FAME India to claim incentives. These companies were also barred from submitting future claims under the scheme.",https://economictimes.indiatimes.com/news/politics//industry/renewables/probe-underway-against-government-officials-in-fame-subsidy-misappropriation-case/articleshow/105422863.cms,industry
200,"India, New Zealand semis pitch changed to help spinners, claims a report; Gavaskar says it's same for both teams","Reports suggest a pitch switch at Mumbai's Wankhede Stadium for India's ICC World Cup semi-final against New Zealand. The originally chosen pitch has been replaced with one that has already been used twice in the tournament. The switch is believed to favor Indian spinners. The pitch consultant, Andy Atkinson, raised concerns about the change and questioned the fairness of pitch selection for the final match as well.",https://economictimes.indiatimes.com/news/politics//news/india/india-new-zealand-semis-pitch-in-wankhede-changed-to-help-spinners-claims-a-report/articleshow/105226550.cms,news
202,State government fiscal deficit higher by 45 per cent in first quarter in the wake of upcoming elections: Report,"The revenue deficit of a sample of 21 states widened to Rs. 0.7 trillion in the first half of FY’2024 from Rs 0.5 trillion in the first half of FY’2023. Moreover, the fiscal deficit of a sample of 21 states widened to Rs. 3.5 lakh crore from Rs. 2.4 lakh crore during the period.",https://economictimes.indiatimes.com/news/politics//news/india/state-government-fiscal-deficit-higher-by-45-per-cent-in-first-quarter-in-the-wake-of-upcoming-elections-report/articleshow/105421314.cms,news
203,Neuralink: Here is Why US Lawmakers Are Asking SEC to Launch Fraud Investigation Into Elon Musk,"Four U.S. lawmakers, including Democratic House Reps. Earl Blumenauer, Jim McGovern, Barbara Lee, and Tony Cardenas, have called on the Securities and Exchange Commission (SEC) to probe Elon Musk for potential securities fraud related to safety concerns surrounding Neuralink's brain implant.",https://economictimes.indiatimes.com/news/politics//news/international/us/neuralink-here-is-why-us-lawmakers-are-asking-sec-to-launch-fraud-investigation-into-elon-musk/articleshow/105423216.cms,news
204,"Tech View: 19,850 proving big hurdle for Nifty bulls. What traders should do on Thursday expiry","While 19850 is proving to be a tough resistance to break, the short- term trend of Nifty remains range- bound with a positive bias. A decisive move above 19850-19900 levels is expected to open a sharp upside towards new all-time highs",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/tech-view-19850-proving-big-hurdle-for-nifty-bulls-what-traders-should-do-on-thursday-expiry/articleshow/105418954.cms,markets
206,World Cup 2023: Top 10 most run scorers and highest wicket takers,"World Cup 2023 witnessed many standout individual performances, with India's Virat Kohli, South Africa's Quinton de Kock, and New Zealand's Rachin Ravindra emerging as the top three scorers. Kohli's incredible form included 711 runs in 10 innings, showcasing remarkable consistency Top wicket-taker was India's Mohammed Shami with 23 wickets in 6 matches, followed by Adam Zampa and D Madushanka with 22 and 21 wickets, respectively.",https://economictimes.indiatimes.com/news/politics//news/india/world-cup-2023-top-10-most-run-scorers-and-highest-wicket-takers/articleshow/105292727.cms,news
208,"Nifty may cross 22,500 in 12 months, says Prabhudas Lilladher; picks Hindalco, 3 more stocks as conviction buys","Nifty is trading at a 17.2% discount to the 10-year average which provides comfort to Prabhudas who believes that the headline index is not trading in a bubble zone. The 50-stock index has remained flattish in the past 6 weeks and given just 1.6% return in the quarter gone by, riding on inflows of the domestic institutional investors (DIIs) even as the foreign institutional investors (FIIs) preferred selling the domestic equities, the note said.",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/nifty-may-cross-22500-in-12-months-says-prabhudas-lilladher-picks-hindalco-3-more-stocks-as-conviction-buys/articleshow/105410468.cms,markets
210,"'Ill-intention to harass me', says retiring chief justice of Allahabad High Court on 2018 transfer","Retiring Allahabad High Court Chief Justice Pritinker Diwaker, in his farewell speech, alleged ill intentions behind his 2018 transfer from Chhattisgarh High Court under Chief Justice Dipak Misra's collegium. Diwaker claimed the transfer seemed to be intended to harass him but acknowledged the support received in Allahabad. He thanked Chief Justice D Y Chandrachud for rectifying the injustice.",https://economictimes.indiatimes.com/news/politics//news/india/ill-intention-to-harass-me-says-retiring-chief-justice-of-allahabad-high-court-on-2018-transfer/articleshow/105419329.cms,news
211,The OpenAI board which fired Sam Altman,"Sam Altman’s ouster followed wide-ranging disagreements between the CEO and his board.  The debates included differences of opinion on AI safety, the speed of development of the technology and the commercialization of the company.",https://economictimes.indiatimes.com/news/politics//tech/technology/the-openai-board-which-fired-sam-altman/articleshow/105306757.cms,tech
213,"Google to manufacture Pixel 8 in India, devices to hit the market next year","Stating that India is a priority market for Pixel, Osterloh said that the company is working to expand authorised Google service centres in India to improve after-sales services.",https://economictimes.indiatimes.com/news/politics//tech/technology/google-to-manufacture-pixel-8-in-india-devices-to-hit-the-market-next-year/articleshow/104549437.cms,tech
214,Criticality of Chinese cyber threat actors has increased in recent years: Mandiant,"According to data from Mandiant, UNC4841 - an espionage actor behind a wide-ranging campaign in support of the People's Republic of China - has targeted an unspecified number of private and public sector organisations located in at least 16 countries, with almost a third being government entities.",https://economictimes.indiatimes.com/news/politics//tech/technology/criticality-of-chinese-cyber-threat-actors-has-increased-in-recent-years-mandiant/articleshow/103852768.cms,tech
215,Oil prices tumble 4% as OPEC+ meeting delayed,"Brent crude futures was down $3.39, or 4.1%, to $79.06 a barrel by 1412 GMT. U.S. West Texas Intermediate (WTI) crude futures were down $3.26, or 4.2%, to $74.51. OPEC+ delayed its ministerial meeting to Nov. 30 from Nov. 26 as previously scheduled, OPEC said in a statement, a surprise development that gave no reason for the postponement.",https://economictimes.indiatimes.com/news/politics//markets/commodities/news/oil-tumbles-4-as-opec-meeting-delayed/articleshow/105422924.cms,markets
216,Parsottam Rupala asks for international cooperation and collaboration for sustainable growth of fisheries,"Rupala said that the GPS system should be made user-friendly to the fishermen, utilising the global expertise and technologies. Cost-effective and reliable technologies are essential for marine navigation to be truly beneficial to fishermen venturing into the sea, the Minister said.",https://economictimes.indiatimes.com/news/politics//news/economy/agriculture/parsottam-rupala-asks-for-international-cooperation-and-collaboration-for-sustainable-growth-of-fisheries/articleshow/105422373.cms,news
217,"Rs 1.12 lakh cr stuck: When will investors of Sahara para banking, Sahara Real Estate, Sahara Housing Investment get their money?","Sahara Refund Portal Update: More than Rs 1.12 lakh crore funds of around 13 crore investors are stuck in several Sahara India group companies, Union Minister of State for Finance Pankaj Chaudhary informed the Parliament earlier. With the Centre launching a refund portal for depositors of Sahara Group co-operative society, other investors are eagerly waiting to know when they will get their money back. Let's find out",https://economictimes.indiatimes.com/news/politics//wealth/save/sahara-refund-portal-rs-1-12-lakh-crore-stuck-when-will-investors-of-sahara-para-banking-sahara-real-estate-sahara-housing-investment-get-their-money/articleshow/102129146.cms,wealth
218,"Buying a house? Know how to safely pay advance, token money for property, clauses to include in 'agreement to sell'","As the token money is being paid by the buyer, certain clauses must be added to the 'Agreement to sell' to protect the buyer's interest. Here's a look at some of them. It is important to know how to safely pay token money, how much you should pay and other things.",https://economictimes.indiatimes.com/news/politics//wealth/legal/will/buying-a-house-know-how-to-safely-pay-advance-token-money-for-property-clauses-to-include-in-agreement-to-sell/articleshow/105407407.cms,wealth
220,These 18 banks offer more than 7% interest rate on 1-year FDs,"There are still multiple banks who are offering more than 7% interest rate on one year fixed deposits (FD). Some of these banks include Kotak Mahindra Bank, Fincare Small Finance Bank, Indusind Bank among other banks. Check here to know more.",https://economictimes.indiatimes.com/news/politics//wealth/invest/these-18-banks-offer-more-than-7-interest-rate-on-1-year-fds/articleshow/105306344.cms,wealth
221,Why Yogi-led UP government has banned Halal-certified food products,"The Uttar Pradesh government has enforced a ban on the production, storage, distribution, and sale of food products with halal certification. The ban does not apply to products manufactured for export. The government claims that there have been attempts to discourage the use of non-halal certified products, which they believe is part of a strategy to sow class hatred and weaken the country.",https://economictimes.indiatimes.com/news/politics//news/how-to/why-yogi-led-up-government-has-banned-halal-certified-food-products/articleshow/105348724.cms,news
222,Sam Altman’s Worldcoin token goes on a wild ride around OpenAI drama,"Worldcoin token began sliding Thursday from a peak of $2.48 as digital-asset markets retreated, a drop that was exacerbated by Altman’s firing on Friday. Worldcoin eventually hit a low of $1.84 in the hours after his exit, CoinGecko data shows.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/sam-altmans-worldcoin-token-goes-on-a-wild-ride-around-openai-drama/articleshow/105348125.cms,markets
223,"What's behind the glitter of Titan, and where it is headed","From getting into gold business and establishing a premium jewellery brand in Tanishq, Titan has done several things right that also caught the attention of late ace stock market investor Rakesh Jhunjhunwala. Titan also cashed in on the premiumisation trend of India,  which is now the fastest growing major economy and consumers are spending more and more for luxury items.",https://economictimes.indiatimes.com/news/politics//industry/services/retail/whats-behind-the-glitter-of-titan-and-where-it-is-headed/articleshow/105412103.cms,industry
224,Mamaearth Q2 Results: Profit soars 93% YoY to Rs 29 crore; revenue jumps 21%,"Honasa said it is continuing to focus on strong offline distribution as well. As per NielsenIQ, brands of Honasa Consumer retailed at 1.65 lakh offline outlets in September 2023, an increase of 47% in offline distribution YoY. In the first half, the company clocked Rs 961 crore in revenue from operations, growing 33% YoY (like-for-like growth of continuing business was 36%). This was driven by volume growth of 35% YoY.",https://economictimes.indiatimes.com/news/politics//markets/stocks/earnings/mamaearth-q2-results-profit-soars-93-yoy-to-rs-29-crore-revenue-jumps-21/articleshow/105415370.cms,markets
225,Should you buy Tata Tech in case of a gap-up listing? SAMCO Securities explains,"“Tata Tech is the only Indian firm and among a handful globally that serves automotive clients in every stage of product's life cycle from the drawing board to the showroom floor. Now as the firm is expanding into aerospace to anchor clients, the long-term perspective looks attractive for Tata Technologies also.”",https://economictimes.indiatimes.com/news/politics//markets/expert-view/if-you-have-long-term-outlook-okay-to-invest-in-tata-tech-after-a-gap-up-listing-samco-securities/articleshow/105410302.cms,markets
226,How to communicate serious topics like climate change to kids? Jugad can help,"According to a recent study, children are more likely to grasp complex concepts when they're presented in a fun and interactive manner. The study highlights the importance of incorporating humor, play, and creativity into educational content to capture children's attention and sustain their interest.",https://economictimes.indiatimes.com/news/politics//news/how-to/how-to-communicate-serious-topics-like-climate-change-to-kids-jugad-can-help/articleshow/105312455.cms,news
227,ZEEL partners NASSCOM to develop generative AI solutions for M&E sector,"The partnership is part of NASSCOM's recently launched Generative AI Foundry programme, which aims to foster innovation and growth in the start-up ecosystem. Through the strategic partnership, ZEEL’s Technology and Innovation Centre in Bengaluru will primarily focus on enabling and supporting co-piloted generative AI solutions for India’s M&E ecosystem.",https://economictimes.indiatimes.com/news/politics//industry/media/entertainment/media/zeel-partners-nasscom-to-develop-generative-ai-solutions-for-me-sector/articleshow/105423263.cms,industry
228,Economy lost momentum by 80-100 bps in Q2 to 6.8-7%: Analysts,"""Uneven rainfall, narrowing differentials with year-ago commodity prices, a possible slowdown in momentum of government capex due to the general elections, weak external demand and the cumulative impact of monetary tightening are likely to translate into lower GDP growth in Q2.""",https://economictimes.indiatimes.com/news/politics//news/economy/indicators/economy-lost-momentum-by-80-100-bps-in-q2-to-6-8-7-analysts/articleshow/105390648.cms,news
229,Top credit cards with airport lounge access,Here is a list of credit cards with airport lounge access from the top 14 banks in India.,https://economictimes.indiatimes.com/news/politics//wealth/spend/top-credit-cards-with-airport-lounge-access/articleshow/105225510.cms,wealth
230,"Tata Tech IPO opens for subscription under pre-apply mode. Check GMP, other details","Tata Technologies is a leading global engineering services company offering product development and digital solutions to global original equipment manufacturers (OEMs). The company services include concept design, tear-down and benchmarking, vehicle architecture, body and chassis engineering, electrical and electronics systems, and diagnostics. It has a workforce of over 11,000 employees spread across 18 global delivery centres.",https://economictimes.indiatimes.com/news/politics//markets/ipos/fpos/tata-tech-ipo-opens-for-subscription-under-pre-apply-mode-check-gmp-other-details/articleshow/105351466.cms,markets
231,The story behind our high-conviction stock ideas,"All studies and data have shown that while human beings love stories, storification is one of the systematic biases that bring down investment returns.",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/the-story-behind-our-high-conviction-stock-ideas/articleshow/105377475.cms,markets
232,Mobikwik continues profitable streak for second quarter in a row,"The Gurugram-based company recorded revenues of Rs 208 crore for the quarter ended September 30, 2023, marking a 17% jump sequentially. The company posted a total profit of Rs 5 crore for the quarter.",https://economictimes.indiatimes.com/news/politics//tech/technology/mobikwik-continues-profitable-streak-for-second-quarter-in-a-row/articleshow/104183594.cms,tech
233,Pulses supplies to remain constrained till Diwali,"There is likely to be a shortage of 1 million tonnes of tur till the harvest of new crops begins in December/January, while the production of kharif moong is expected to be lower by 12%. The quality of urad crop under harvest has been damaged due to rainfall in September.",https://economictimes.indiatimes.com/news/politics//news/economy/agriculture/pulses-supplies-to-remain-constrained-till-diwali/articleshow/104057103.cms,news
234,Citi makes new appointments in Asia Pacific as part of restructuring,"Citigroup has appointed Jan Metzger as Capital Markets and Advisory Head for Asia, Kaleem Rizvi as corporate bank head for Asia North and Australia, K Balasubramanian as head of corporate banking for Asia South, and Gunjan Kalra as commercial banking business leader for Asia North, Australia, and Asia South.",https://economictimes.indiatimes.com/news/politics//news/international/business/citi-makes-new-appointments-in-asia-pacific-as-part-of-restructuring/articleshow/105407237.cms,news
235,"Why Helios’ Dinshaw Irani is avoiding the IPOs, FMCG, IT and paint stocks","“FMCG is one area which one needs to avoid. I do not think sustenance of 60-70 PEs for most of these stocks – I am talking about one-year forward PEs – is possible, given that even the rural markets are not firing and the growth rates are in low teens or even high single digits as such. So, that is one area that you need to avoid.”",https://economictimes.indiatimes.com/news/politics//markets/expert-view/why-helios-dinshaw-irani-is-avoiding-the-ipos-fmcg-it-and-paint-stocks/articleshow/105416758.cms,markets
236,"CG Power files application with MeitY for semiconductor assembly, test facility","The estimated investment on the project over five years is $791 million (Rs 6,592 crore) and the same is expected to be funded by a combination of subsidy, JV partners’ equity contribution and debt, as required.",https://economictimes.indiatimes.com/news/politics//tech/technology/cg-power-files-application-with-meity-for-semiconductor-assembly-test-facility/articleshow/105423099.cms,tech
237,FD interest rate hikes not over yet; this RBI rule can push banks to increase fixed deposit rates,"Fixed deposit interest rate hike: The era of rising interest rates on fixed deposits is not over yet. Some factors that indicate this is credit growth remaining much higher than deposit growth; the recent decision of the Reserve Bank of India (RBI) to increase the investment limit of non-callable deposits to Rs 1 crore. As an FD investor, you can take advantage of rising interest rates to invest in term deposits. Know how your FD interest rate will be impacted in the short term and long term.",https://economictimes.indiatimes.com/news/politics//wealth/invest/fd-interest-rate-hikes-not-over-yet-this-rbi-rule-can-force-banks-to-raise-fixed-deposit-rates/articleshow/105252590.cms,wealth
238,"How to open a demat account for minors, documents required and other things to keep in mind","A parent can choose to open a demat account in the name of their minor son or daughter in order to gift them various securities like shares, etc. However it must be noted that although parents can give their own bank account at the time of account opening, but at the redemption the sale proceeds would only be credited to a minor's bank account.",https://economictimes.indiatimes.com/news/politics//wealth/invest/how-to-open-a-demat-account-for-minors-documents-required-and-other-things-to-keep-in-mind/articleshow/105359811.cms,wealth
